Дата,Заражений,Выздоровлений,Смертей,Заражений за день,Выздоровлений за день,Население страны,I,R,S,Инфицированные_I,Восприимчивые_S,Инфицированные норм
2020-08-03,307244,255647.0,41293,939,0.0,63181775,10304.0,296940.0,62874531,10304.0,62874531,16.30850035473046
2020-08-04,307915,256074.0,41311,671,427.0,63181775,10530.0,297385.0,62873860,10530.0,62873860,16.66619844092699
2020-08-05,308823,256623.0,41325,908,549.0,63181775,10875.0,297948.0,62872952,10875.0,62872952,17.21224197958984
2020-08-06,309786,257384.0,41343,963,761.0,63181775,11059.0,298727.0,62871989,11059.0,62871989,17.50346520021003
2020-08-07,310687,258140.0,41355,901,756.0,63181775,11192.0,299495.0,62871088,11192.0,62871088,17.713968941201795
2020-08-08,311453,258907.0,41358,766,767.0,63181775,11188.0,300265.0,62870322,11188.0,62870322,17.707638001623096
2020-08-09,312566,259653.0,41363,1113,746.0,63181775,11550.0,301016.0,62869209,11550.0,62869209,18.28058803349542
2020-08-10,313384,260323.0,41381,818,670.0,63181775,11680.0,301704.0,62868391,11680.0,62868391,18.48634356980316
2020-08-11,314534,260860.0,41394,1150,537.0,63181775,12280.0,302254.0,62867241,12280.0,62867241,19.435984506608115
2020-08-12,315569,261644.0,41414,1035,784.0,63181775,12511.0,303058.0,62866206,12511.0,62866206,19.801596267278025
2020-08-13,316719,262474.0,41432,1150,830.0,63181775,12813.0,303906.0,62865056,12813.0,62865056,20.279582205469854
2020-08-14,318178,263346.0,41443,1459,872.0,63181775,13389.0,304789.0,62863597,13389.0,62863597,21.19123750480261
2020-08-15,319223,264112.0,41446,1045,766.0,63181775,13665.0,305558.0,62862552,13665.0,62862552,21.62807233573289
2020-08-16,320336,264854.0,41451,1113,742.0,63181775,14031.0,306305.0,62861439,14031.0,62861439,22.207353307183915
2020-08-17,321055,265790.0,41454,719,936.0,63181775,13811.0,307244.0,62860720,13811.0,62860720,21.85915163035543
2020-08-18,322170,266449.0,41466,1115,659.0,63181775,14255.0,307915.0,62859605,14255.0,62859605,22.5618859235911
2020-08-19,322998,267340.0,41483,828,891.0,63181775,14175.0,308823.0,62858777,14175.0,62858777,22.435267132017106
2020-08-20,324194,268297.0,41489,1196,957.0,63181775,14408.0,309786.0,62857581,14408.0,62857581,22.80404436247636
